,id,date,tweet,label
0,1344758393609699329,2020-12-31 21:32:40+00:00,$OXY and $UAL both lost over 3% and are Thursday's worst performing $SPX #stocks; $ETSY $APA $LRCX $AAL $LEN $FTI $LB $PHM $IFF $WHR and $DVN all closed down over 2% on the day #trading,AAL
1,1344750174862766094,2020-12-31 21:00:00+00:00,"Large Print $AAL Size: 664014 Price: 15.77 Time: 1600 Amount: $10,471,500.78",AAL
2,1344744082783031298,2020-12-31 20:35:48+00:00,"France Coronavirus: 2,620,425 Cases and 64,632 Deaths | $DAL $JBLU $JETS $BYD $AAL $LUV $UAL $SAVE $NCLH $CCL $RCL $AIG $SPY $SPX $NDX $NVAX $BABA $TSLA $DKNG $PENN $JMIA $GOL $HA $APPL $BAC $NKLA $VIX $DIA $STPK #AEX #COVID19",AAL
3,1344740559223721990,2020-12-31 20:21:48+00:00,"Large Print $AAL Size: 136812 Price: 15.87 Time: 1521 Amount: $2,171,206.44",AAL
4,1344723780543901696,2020-12-31 19:15:07+00:00,"Large Print $AAL Size: 123950 Price: 15.89 Time: 1415 Amount: $1,969,565.50",AAL
5,1344723766052413440,2020-12-31 19:15:04+00:00,"Well, a very strange year. Never thought I'd be a degenerate options seller, but $HTZ got me off the sidelines.
Big winner: $NKLA
Other winners: $AAL, $ABNB, $CCL, $KODK, $SNOW
Losers: $DKNG, $MRNA
Not sure what 2021 holds, but with SPAC mania, should be  opportunities to fade",AAL
6,1344721069115138050,2020-12-31 19:04:21+00:00,"Large Print $AAL Size: 104000 Price: 15.7815 Time: 1404 Amount: $1,641,276.00",AAL
7,1344712438172717056,2020-12-31 18:30:03+00:00,Today’s another great day to load up. Take your pick. ^_^ $GHSI $KPTI $BIOL $ACST $GAXY $NXTD $AQMS $OPTI $CSCW $NMTR $SNDL $AMC $AAL $UAL $CCL $PTON $CBAT $OPTT $ENG $NETE $AMCI $XL,AAL
8,1344712019744845824,2020-12-31 18:28:23+00:00,"HEAVY CALLS TRADED IN $AAL 15
2.19.21",AAL
9,1344711951776153600,2020-12-31 18:28:07+00:00,"HEAVY CALLS TRADED IN $AAL 15 

5.21.21",AAL
10,1344711765620387840,2020-12-31 18:27:23+00:00,Just sold some $AAL $12 puts.,AAL
11,1344707891471785984,2020-12-31 18:11:59+00:00,"$GEVO $VERO $FUV $HSTO $AAL  don’t look at the current account in the bank, do not look at the securities portfolio, do not think about losses ... look into the eyes of those you love, have a nice evening with your family. Happy 2021. Fuck 2020.",AAL
12,1344705554468515841,2020-12-31 18:02:42+00:00,If you had to pick a stock which one are you picking! $AAL $LUV,AAL
13,1344698155984683009,2020-12-31 17:33:18+00:00,$AAL big bull bet,AAL
14,1344693725646131200,2020-12-31 17:15:42+00:00,"$AAL gettin yuge 😍 for the 5/21 $15 Calls

40,000 x $3.17 = $12.7M",AAL
15,1344681005131579392,2020-12-31 16:25:09+00:00,"$HTSC, major news out today. Look for a run this afternoon. The nickel rush is coming!
$ATVK $TSNP $AMZN $GOOG $EBAY $GM $TSLA $F $GE $T $COUV $CHI $MINE $AMD $INTC $ELYGF $ITKG $DREM $KBH $LEN $AAL $UUU $IBIO $IBO",AAL
16,1344661019633844224,2020-12-31 15:05:44+00:00,.last pick ups bfr the New Year $AAL $APXT $T $FCEL $QS.,AAL
17,1344659803298271240,2020-12-31 15:00:54+00:00,"📈 Today's Trending Stocks 📉

$TSLA Tesla Inc
$694.355 (-0.02%)

$FB Facebook, Inc. Class A
$274.59 (0.99%)

$AAL American Airlines Group, Inc.
$15.64 (-3.10%)

$AAPL Apple Inc.
$133.42 (-0.25%)

$ZM Zoom Video Communications, INC.
$344.44 (-2.47%)",AAL
